id,id_loc,province_state,country_region,lat,long,date,confirmed_to_date,new_confirmed,deaths_to_date,new_deaths,recovered_to_date,new_recovered
2062,158,,Tunisia,34,9,2020-02-02,0,0,0,0,0,0
2063,159,"Contra Costa County, CA",US,37.8534,-121.9018,2020-02-02,0,0,0,0,0,0
2064,160,,Palestine,31.9522,35.2332,2020-02-02,0,0,0,0,0,0
2065,161,,Bosnia and Herzegovina,43.9159,17.6791,2020-02-02,0,0,0,0,0,0
2066,162,,Slovenia,46.1512,14.9955,2020-02-02,0,0,0,0,0,0
2067,163,"Bergen County, NJ",US,40.9263,-74.077,2020-02-02,0,0,0,0,0,0
2068,164,"Harris County, TX",US,29.7752,-95.3103,2020-02-02,0,0,0,0,0,0
2069,165,"San Francisco County, CA",US,37.7749,-122.4194,2020-02-02,0,0,0,0,0,0
2070,166,,South Africa,-30.5595,22.9375,2020-02-02,0,0,0,0,0,0
2071,167,"Clark County, NV",US,36.0796,-115.094,2020-02-02,0,0,0,0,0,0
2072,168,"Fort Bend County, TX",US,29.5693,-95.8143,2020-02-02,0,0,0,0,0,0
2073,169,"Grant County, WA",US,47.1981,-119.3732,2020-02-02,0,0,0,0,0,0
2074,170,"Queens County, NY",US,40.7282,-73.7949,2020-02-02,0,0,0,0,0,0
2075,171,"Santa Rosa County, FL",US,30.769000000000002,-86.9824,2020-02-02,0,0,0,0,0,0
2076,172,"Williamson County, TN",US,35.9179,-86.8622,2020-02-02,0,0,0,0,0,0
2077,0,Anhui,Mainland China,31.8257,117.2264,2020-02-03,408,68,0,0,14,7
2078,1,Beijing,Mainland China,40.1824,116.4142,2020-02-03,212,21,1,0,12,3
2079,2,Chongqing,Mainland China,30.0572,107.874,2020-02-03,337,37,2,0,9,2
2080,3,Fujian,Mainland China,26.0789,117.9874,2020-02-03,179,20,0,0,1,1
2081,4,Gansu,Mainland China,36.0611,103.8343,2020-02-03,55,4,0,0,3,0
2082,5,Guangdong,Mainland China,23.3417,113.4244,2020-02-03,725,93,0,0,21,6
2083,6,Guangxi,Mainland China,23.8298,108.7881,2020-02-03,127,16,0,0,7,5
2084,7,Guizhou,Mainland China,26.8154,106.8748,2020-02-03,46,8,0,0,2,0
2085,8,Hainan,Mainland China,19.1959,109.7453,2020-02-03,72,8,1,0,4,0
2086,9,Hebei,Mainland China,38.0428,114.5149,2020-02-03,113,9,1,0,3,0
2087,10,Heilongjiang,Mainland China,47.862,127.7615,2020-02-03,121,26,2,0,2,0
2088,11,Henan,Mainland China,33.882020000000004,113.614,2020-02-03,566,73,2,0,16,6
2089,12,Hubei,Mainland China,30.9756,112.2707,2020-02-03,13522,2345,414,64,386,91
2090,13,Hunan,Mainland China,27.6104,111.7088,2020-02-03,521,58,0,0,22,6
2091,14,Inner Mongolia,Mainland China,44.0935,113.9448,2020-02-03,34,7,0,0,1,0
2092,15,Jiangsu,Mainland China,32.9711,119.455,2020-02-03,271,35,0,0,8,1
2093,16,Jiangxi,Mainland China,27.614,115.7221,2020-02-03,391,58,0,0,18,6
2094,17,Jilin,Mainland China,43.6661,126.1923,2020-02-03,31,8,0,0,1,0
2095,18,Liaoning,Mainland China,41.2956,122.6085,2020-02-03,74,4,0,0,1,0
2096,19,Ningxia,Mainland China,37.2692,106.1655,2020-02-03,31,3,0,0,1,1
2097,20,Qinghai,Mainland China,35.7452,95.9956,2020-02-03,13,2,0,0,0,0
2098,21,Shaanxi,Mainland China,35.1917,108.8701,2020-02-03,128,12,0,0,0,0
2099,22,Shandong,Mainland China,36.3427,118.1498,2020-02-03,259,29,0,0,7,1
2100,23,Shanghai,Mainland China,31.202,121.4491,2020-02-03,203,21,1,0,10,0
2101,24,Shanxi,Mainland China,37.5777,112.2922,2020-02-03,74,8,0,0,2,-1
2102,25,Sichuan,Mainland China,30.6171,102.7103,2020-02-03,254,23,1,0,14,3
2103,26,Tianjin,Mainland China,39.3054,117.323,2020-02-03,60,12,0,0,1,0
2104,27,Tibet,Mainland China,31.6927,88.0924,2020-02-03,1,0,0,0,0,0
2105,28,Xinjiang,Mainland China,41.1129,85.2401,2020-02-03,24,3,0,0,0,0
2106,29,Yunnan,Mainland China,24.974,101.487,2020-02-03,117,12,0,0,5,2
